Claim Number,Claim Amount,Close Amount,Disposition
V7QYI42EGD,32.99,0.0,Deny
EDNQIOLS1N,50.83,0.0,Deny
PDT0X0ZNAJ,300.0,0.0,Deny
S9PVQKTLJN,38.0,38.0,Approve in Full
4VN2DMO3G6,71.02,71.02,Approve in Full
9UAUOVZVSU,600.0,0.0,Deny
FRTRSMULQC,80.59,0.0,Deny
7HOXFMELXD,941.52,941.52,Approve in Full
WO3YCEHJE0,316.94,141.2,Settle
ZJ895IWZMB,110.0,0.0,Deny
UKBMWWU9XW,7654.0,0.0,Deny
7NVAGUZWXO,1340.0,0.0,Deny
VBA5ZPY5C4,8.0,8.0,Approve in Full
X61NHKQQ8J,10.88,0.0,Deny
BCFVQMRWL0,150.0,0.0,Deny
FMZUPQUF3K,925.0,0.0,Deny
FT40U6YMT3,1444.88,0.0,Deny
F81E8RWSK6,67.85,33.94,Settle
ZFLVDXLV1P,41.57,41.57,Approve in Full
NJ3AQ4OEGK,454.65,0.0,Deny
TUC06JL7I6,42.0,0.0,Deny
VM9VJIC4XP,200.0,200.0,Approve in Full
XMUG9UI4RM,1049.99,0.0,Deny
46I98222IH,42.98,42.98,Approve in Full
6Z9BC1F5I3,489.62,0.0,Deny
BRG5GQ37GP,132.0,0.0,Deny
52XP2TRPC5,500.0,349.17,Settle
H1XMX04UR9,600.0,0.0,Deny
KUH8VPW2TB,11.85,0.0,Deny
M4J55A32CS,16.98,0.0,Deny
0WBVKQIQ6F,32.0,32.0,Approve in Full
UJR7YE6GTG,18.95,18.95,Approve in Full
C2OJ3K5Z08,377.33,377.33,Approve in Full
YUG2U1NYVV,430.0,430.0,Approve in Full
7QXF90VOSO,21.95,21.95,Approve in Full
IQ7R31W3EC,10.8,10.8,Approve in Full
WT5054C1SQ,250.0,125.0,Settle
V7W8VBHB4A,1966.89,803.0,Settle
QJWLQCD35X,1078.4,0.0,Deny
T0OHYD6FB5,21.0,0.0,Deny
A413LMNIRT,175.0,175.0,Approve in Full
ILPZ1DRXEH,589.86,0.0,Deny
ZHB936NKQQ,250.0,125.0,Settle
QY8RXMJUGX,1719.96,562.03,Settle
J1KNAYUSHV,40.0,0.0,Deny
N1KH7OF39T,1450.0,0.0,Deny
43161A2WIT,4570.56,0.0,Deny
NP30C5I7H9,539.0,0.0,Deny
R9V1PPN8XO,159.0,0.0,Deny
L1NU3HY96F,15.0,15.0,Approve in Full
5ML2A59MNP,10.74,0.0,Deny
VO9TEHI9VY,300.0,0.0,Deny
CXGJ16ZG8H,30.0,30.0,Approve in Full
8YH3Z1ZSAL,4856.0,0.0,Deny
MR5XD2TS09,224.62,130.19,Settle
AH3QV25MLV,129.95,0.0,Deny
GIHM3CQFJZ,63.4,63.4,Approve in Full
FX74WYP9TB,250.0,50.0,Settle
JGLM8FQE0L,85.34,0.0,Deny
8IW9T4BLQ4,222.79,222.79,Approve in Full
84GWOQ0PH6,25.0,25.0,Approve in Full
CYH0KUEM6A,350.0,0.0,Deny
K6YZE8TV3O,325.78,199.37,Settle
005AH1H07X,75.0,37.5,Settle
TRMGVHKAGL,350.0,0.0,Deny
5M1Z3CQGNS,250.0,143.0,Settle
V7NOD7H05D,300.0,270.0,Settle
GLDUPTFPO4,1329.63,0.0,Deny
B2182D9KY3,129.99,0.0,Deny
BE9SK6482B,102.95,0.0,Deny
H58RPXETPI,50.0,50.0,Approve in Full
GMTVINF4U8,2500.0,0.0,Deny
IR9GBRN43M,300.0,150.0,Settle
K9JRYVQ7WG,95.09,95.09,Approve in Full
2MI8M6MXTN,187.45,0.0,Deny
Z51F1Y4VW5,145.0,0.0,Deny
TNMWT0R1NK,117.0,117.0,Approve in Full
SN0DUCC18J,173.34,86.67,Settle
LVZR0SGI17,500.0,0.0,Deny
88S3XBOGII,25.0,0.0,Deny
3I91BSSP36,59.99,0.0,Deny
OMDY87IRF9,400.0,0.0,Deny
END2TKF548,150.0,75.0,Settle
RUIXSF0QJH,137.73,0.0,Deny
UKKG6RBRZY,49.04,49.04,Approve in Full
0WFDP45VE2,14.99,14.99,Approve in Full
132RL6DHM4,50.0,0.0,Deny
7JWJ3205P9,301.26,0.0,Deny
RLVZ4MZ96L,35.38,35.38,Approve in Full
IU6JYS44LT,3093.94,0.0,Deny
U3JBNPFOYM,150.0,150.0,Approve in Full
764R5MOG8L,50.0,0.0,Deny
IY2MLCWU8V,350.0,175.0,Settle
YBR07828BP,159.0,0.0,Deny
JBIWZ24QLN,140.0,140.0,Approve in Full
JPC697HDWG,46.93,0.0,Deny
WYMF3VLBIX,15.89,15.89,Approve in Full
K8J6MIPO49,38.52,38.52,Approve in Full
H0QYFA8OV1,29.98,29.98,Approve in Full
8L92WTET9I,955.0,0.0,Deny
ZJMUWT0866,29.99,0.0,Deny
NFI79ORC1S,629.0,0.0,Deny
A6MJ7YBRBD,155.04,0.0,Deny
BQPGTPHSP8,25.0,0.0,Deny
DWTGUBFGLQ,462.5,462.5,Approve in Full
0X1A0KEKAX,572.0,0.0,Deny
GCDZWBQJBE,1240.0,569.0,Settle
W12YT5ZYEG,814.98,0.0,Deny
O5KSN0PEM4,788.0,0.0,Deny
MLXAGSF17F,387.44,193.72,Settle
0JV7CEU6ZR,1300.0,0.0,Deny
FOA80KHT34,1600.0,0.0,Deny
L850H9Q3BA,20.0,0.0,Deny
RDKLMM5X0J,25.8,25.8,Approve in Full
3ZCZAXUG9E,1400.0,0.0,Deny
1X4K4HVRPR,134.81,0.0,Deny
4HF4JQ4O5K,167.52,83.76,Settle
BCQGAE0OSV,14027.3,0.0,Deny
8NFCWI3GTC,282.53,0.0,Deny
RTFKYB3DKJ,690.0,177.1,Settle
7QXELS2NFN,14.98,14.98,Approve in Full
44TGK5R2KM,89.0,75.65,Settle
25FEE71T3J,179.0,0.0,Deny
PF0N9N9HEZ,53.53,50.0,Settle
LOBNTOMRXA,130.0,109.0,Settle
TUBBIVXDLZ,85.0,0.0,Deny
3JUD24B0HP,53.53,53.53,Approve in Full
A1ZVE5LDXW,246.28,0.0,Deny
RMSR7PTFVM,21.0,0.0,Deny
ZNE6WSFO4Z,40.0,40.0,Approve in Full
RUESNDGFKG,95.0,0.0,Deny
D9YG2N0ENY,10392.0,8140.0,Settle
6FSF243VTK,400.0,0.0,Deny
FX3183TTY4,79.95,79.95,Approve in Full
QQZRWZQSBZ,73.0,0.0,Deny
QU0BYAFD31,60.0,0.0,Deny
LFFL9DJYXA,58.3,58.3,Approve in Full
UB534OL65V,132.99,0.0,Deny
2RICTGCJNY,31.93,0.0,Deny
4WJE44J44M,190.0,85.0,Settle
07KLNGYMRB,223.64,0.0,Deny
WD6CPPP45O,3270.0,3020.5,Settle
VBJHMRE7BC,644.15,322.08,Settle
QEJPUM8TBS,85.0,0.0,Deny
ZRA5LBV6NB,1450.0,1450.0,Approve in Full
RWCRXMB6JM,112.97,50.0,Settle
WRNUBMBQES,41.73,0.0,Deny
2TI7ZNG40R,191.69,47.99,Settle
SG9JZ125SZ,315.0,268.0,Settle
5EWI6UQH33,20.0,20.0,Approve in Full
9DQR8YIOMD,44.74,44.74,Approve in Full
34ONKY2OG8,10.28,10.28,Approve in Full
V1HM2MSHHL,12.14,12.14,Approve in Full
ZT2JD3JQMT,725.0,0.0,Deny
M5FP096E4M,3460.0,0.0,Deny
3UMV39VUNQ,125.5,0.0,Deny
Y1ENOR90HX,162.75,162.75,Approve in Full
O5YFETPAFT,299.9,299.9,Approve in Full
9KVNUJBWXV,5245.0,0.0,Deny
J9DH3BMGLI,12.0,12.0,Approve in Full
PEMTLM8R6T,150.0,50.0,Settle
LTG7R9JJ7J,450.0,315.0,Settle
3D95AQTJSN,823.58,0.0,Deny
3MT9MJHO33,200.0,100.0,Settle
CHPK6U0S8S,107.78,0.0,Deny
PAF9IQGPFC,50.0,50.0,Approve in Full
MQBGLB5XP2,50.0,50.0,Approve in Full
DRP160Z0DK,200.0,0.0,Deny
STGYORKG2B,151.04,0.0,Deny
F2MJ4VR8DD,102.0,0.0,Deny
BAG0CJBJLS,10.99,0.0,Deny
RFRGQWJE7K,31.34,31.34,Approve in Full
9XEK1C2G15,70.0,0.0,Deny
VD7VUMP2E2,300.0,0.0,Deny
FBA6HVI93U,39.92,0.0,Deny
EPHWUW70HY,42.59,0.0,Deny
4DH7VKKOH5,443.0,221.5,Settle
K0HNUMXB81,2170.0,0.0,Deny
L1Q2TM0GXJ,10.0,0.0,Deny
QYEJBDEX9V,314.98,0.0,Deny
EXRN7IZ0EE,300.0,300.0,Approve in Full
RKAYQCVCIX,1600.0,1028.73,Settle
MQXAE93P7D,249.99,0.0,Deny
L0IUBLMZFD,85.0,50.0,Settle
XRHCEW9T03,140.0,140.0,Approve in Full
QH1WR4GKRO,215.97,86.0,Settle
I8MSEJMJWT,450.0,0.0,Deny
3OVF2F9PAM,1590.0,443.85,Settle
FP0BQ3R521,300.0,0.0,Deny
SZ4LXY8229,1500.0,0.0,Deny
YO57Y9CQM9,50.0,25.0,Settle
JS5GAPRN5B,300.0,150.0,Settle
30K8SSN0KL,133.59,0.0,Deny
NN8DTBVB99,89.77,89.77,Approve in Full
N2GI2MHOTY,43.2,43.2,Approve in Full
30EXQVNI1T,86.45,86.45,Approve in Full
PYUA21A8WI,420.0,65.0,Settle
WYK0ZZYHDT,80.0,40.0,Settle
VYFD9DHY45,40.0,0.0,Deny
TWMFLHD3SS,21.57,21.57,Approve in Full
CV0TKJZXAJ,250.0,250.0,Approve in Full
D3EGWEA664,218.73,0.0,Deny
8K3E28HIPY,250.0,250.0,Approve in Full
B23PS6J4IP,50.0,0.0,Deny
GGAMJD5EJR,108.15,0.0,Deny
T8L0YS6TV2,2153.0,0.0,Deny
8H7K045TQG,200.0,100.0,Settle
TVLY8VJ2YT,150.0,0.0,Deny
SHMEPOKZDA,60.0,0.0,Deny
CUWPHVQHOH,566.45,0.0,Deny
FRKZKDB84V,16.75,16.75,Approve in Full
9RGP3UK263,149.0,0.0,Deny
4B46R6139R,59.99,0.0,Deny
5PP5HE21CV,595.61,0.0,Deny
B1V2Y8EAGE,480.0,0.0,Deny
PMECEF94OA,173.0,86.5,Settle
VMPW84UD13,7.48,7.48,Approve in Full
3XJ8O0943C,277.1,277.1,Settle
P212HX8TBE,150.0,0.0,Deny
9GEC2UR6TN,99.0,0.0,Deny
NG1D1JVMD9,25.0,25.0,Approve in Full
2CPK4ISTSK,9.44,0.0,Deny
NDIGQT1QNM,98.0,98.0,Approve in Full
DPMAT72QY3,100.0,0.0,Deny
OS62SZZN41,376.25,0.0,Deny
CFJEO1V110,107.64,0.0,Deny
NNCEI98ZPG,241.38,151.0,Settle
JJTUWEBBAR,390.0,0.0,Deny
G08CW0408C,500.0,424.66,Settle
GDH7EQ1DC8,49.5,0.0,Deny
TEEA4KZNOY,170.0,0.0,Deny
O4PP0555RK,59.34,59.34,Approve in Full
IVJKBNBVT8,760.0,0.0,Deny
G9MLO9CU64,9560.0,0.0,Deny
W5K6PKCBJ8,59.16,59.16,Approve in Full
HVI7GR9RDT,164.0,91.85,Settle
Y6SLZ7TIMV,149.95,149.95,Approve in Full
D31CVB7OKY,60.0,30.0,Settle
HYI3RDV3V7,10.0,10.0,Approve in Full
6I0YMK1XR5,92.01,92.01,Approve in Full
23QPQ2R9DG,375.0,375.0,Approve in Full
0I6DQC2ACD,91.06,91.06,Approve in Full
LDMIQCIDAI,185.0,92.5,Settle
WUZGRR15YM,197.87,182.46,Settle
0WPHRNMOSQ,14.31,0.0,Deny
PET51PBD62,519.88,247.09,Settle
GRDJR39I73,79.2,0.0,Deny
QUEMMFM32Y,65.0,0.0,Deny
HU6TL7T6LG,365.0,365.0,Approve in Full
SL847SV1SM,300.0,150.0,Settle
LBP677HZSB,3800.0,0.0,Deny
0ZZT2JDLSI,1275.0,1275.0,Approve in Full
NQD1LP873O,19.0,19.0,Approve in Full
QK32UVVP8E,14.85,14.85,Approve in Full
LDFTCPJA2H,459.98,0.0,Deny
WB4BTUEKM9,385.0,0.0,Deny
KEZJEU4CDJ,150.0,150.0,Approve in Full
MI7A0HWZFM,139.99,50.0,Settle
8FTVORO1HM,665.0,0.0,Deny
PPX8CAV35C,205.66,86.03,Settle
YIBIBNJWKH,1200.0,0.0,Deny
7DOHMGKIKX,299.95,100.0,Settle
AE7BKG66SN,100.0,100.0,Approve in Full
GCBVTZSAUW,799.0,0.0,Deny
6XXTAFT4E3,130.0,0.0,Deny
1ZSIGFAT70,100.0,18.46,Settle
N2U0GJHX3P,89.0,89.0,Approve in Full
KSRNNJU50L,1120.86,0.0,Deny
8F7QGBKDUF,33.94,0.0,Deny
7EZEM5OWA5,40.0,40.0,Approve in Full
LP8W8GBOD1,65.0,32.5,Settle
HFT5I4EL2B,38.02,38.02,Approve in Full
EZAK46P69K,625.0,0.0,Deny
DL2VC6J7KK,51.0,51.0,Approve in Full
UKZIHQ1S6A,1885.0,1885.0,Approve in Full
FGYQYUC6AC,412.68,206.34,Settle
3GMHVY0LU8,747.65,406.89,Settle
5BK0TS524L,125.0,62.5,Settle
XW9UCSZR4B,290.0,0.0,Deny
B3GPD5IZQW,125.7,0.0,Deny
GMMWT4EZ55,4.49,0.0,Deny
HZX8VTDXOQ,40.0,20.0,Settle
DPIYDFPJYW,215.14,215.14,Approve in Full
GC9IZ710UD,2567.23,0.0,Deny
Q4O6Z91F5B,63.0,63.0,Approve in Full
AZ3DXFZUIT,190.0,95.0,Settle
WVZS5ML8QA,45.6,0.0,Deny
8PM4OO7IPE,2300.0,0.0,Deny
E3YRZ7JDVG,1400.0,0.0,Deny
55UK43L4TS,1098.99,0.0,Deny
AI6JVWUOEO,84.83,0.0,Deny
X3C8YTXWLI,3180.0,0.0,Deny
IY8W7GBR9I,120.0,0.0,Deny
4QZ1BNT6RP,155.12,155.12,Approve in Full
GDICWKPTXL,135.0,0.0,Deny
Z19SNF72DI,79.97,79.97,Approve in Full
2WJ72UZUHS,14.99,14.99,Approve in Full
1DMGR7DJSW,159.0,0.0,Deny
EKNZQOETH4,171.23,171.23,Approve in Full
8BPX27VE8U,21.99,22.0,Approve in Full
YKEL2SGJ45,160.0,128.0,Settle
YRWGB0VMKF,273.55,0.0,Deny
78YHRK404Q,8.0,8.0,Approve in Full
ER2ZM6RTY3,6.0,6.0,Approve in Full
GGS9SDBH07,1602.7,1240.56,Settle
5G6F7RIG5O,106.4,0.0,Deny
5RC8YSUERC,4800.0,0.0,Deny
SY7HZYIFCL,304.99,0.0,Deny
XK41NUXMVJ,80.81,80.81,Approve in Full
QO69CO395F,100.0,50.0,Settle
8Y60HW64O9,200.0,0.0,Deny
V26K77Z5Z4,434.04,0.0,Deny
GDNLC1MP8N,100.0,50.0,Settle
XG8YQJ4749,473.99,0.0,Deny
UHC77UJAPD,202.22,89.04,Settle
J4COEV763H,64.18,64.18,Approve in Full
DQ1SW7CQKT,2350.0,1436.42,Settle
LB5HL51TZD,170.0,0.0,Deny
Q1LCMUMJ43,150.0,0.0,Deny
JFMKG2S89Z,350.0,184.99,Settle
CKNJHBVJSO,217.5,50.0,Settle
UXYEFD3V0X,96.7,96.7,Approve in Full
GSS34D96W7,95.0,95.0,Approve in Full
I26YU0SX3G,515.0,0.0,Deny
7YU00YCY7C,1801.3,461.88,Settle
CCK5M2L61W,7.41,0.0,Deny
UCQ1MUG6MG,20.0,0.0,Deny
8HRQKQ26IV,154.46,154.46,Approve in Full
XCMA9Q7PTA,150.0,75.0,Settle
MVLO4JJQUF,450.0,0.0,Deny
57RG4AW01X,350.0,0.0,Deny
EXVM24W21X,55.0,55.0,Approve in Full
N6H8TVAWS8,63.59,32.0,Settle
M78JO523AK,10000.0,2500.0,Settle
Y69QJFZI34,923.88,0.0,Deny
E7JJBQ2781,114.68,0.0,Deny
7YFBBW17G9,499.99,0.0,Deny
NLEMJXORMY,90.0,90.0,Approve in Full
4ZF56IGBXZ,160.98,0.0,Deny
QXPMA3Z46W,600.0,300.0,Settle
4S236YUH10,65.0,65.0,Approve in Full
1ZRNU2WURF,110.0,0.0,Deny
3M7C55ZTDL,26.94,26.94,Approve in Full
F2CURDR7Y4,15.89,7.95,Settle
8YVGYVOLTY,400.0,0.0,Deny
A5CXMC1SN4,120.0,120.0,Deny
3295N562P8,80.0,80.0,Approve in Full
YGP6SETD5R,162.96,0.0,Deny
CHS7IO98TV,50.0,0.0,Deny
BIEAQH156Z,185.0,50.0,Settle
QE3IJ2UWKN,84.36,84.36,Approve in Full
NQU85ABZZU,10.0,10.0,Approve in Full
T2UJZ466V0,1400.0,0.0,Deny
2DUCXHOQNV,9.73,9.73,Approve in Full
1KU782GR8Y,150.0,50.0,Settle
33K8PR9MT5,1405.0,713.19,Settle
0JDS661CDF,70.0,0.0,Deny
HJPCV6P3AT,985.0,339.51,Settle
1MXSEM8HQB,490.7,0.0,Deny
0AGFUGNPWK,3540.0,1100.0,Settle
HH4CTZD6WZ,67.82,55.13,Settle
G59OF970XI,48.94,48.94,Approve in Full
WBJHVUL63B,733.93,733.93,Approve in Full
8SJP3NOW4E,84.2,84.2,Approve in Full
OSBUXHPZFG,1700.0,1000.0,Settle
UBJZ58CCE6,139.95,0.0,Deny
0UUXOVN8RD,1500.0,0.0,Deny
YG24QGNWJ2,1176.98,0.0,Deny
9390S3G100,8.55,8.55,Approve in Full
990D676RRY,44.0,44.0,Approve in Full
DZOSJNDZE5,10.0,10.0,Approve in Full
W7NSPPV35N,15.82,0.0,Deny
V3GYS3W41F,360.0,0.0,Deny
8LD6ZXN5M9,95.0,0.0,Deny
UC90V4OKA8,100.0,0.0,Deny
JJ24ZKHQVF,150.0,150.0,Approve in Full
5035X9LWUV,80.0,0.0,Deny
Q0QDFW7K26,169.07,0.0,Deny
7EVSWUBU1S,74.54,74.54,Approve in Full
RQG5PYOILE,10.0,10.0,Approve in Full
L7T2KM46YW,69.04,35.0,Settle
L763RL1QEU,469.0,267.0,Settle
G9FB73NBTS,10.95,10.95,Approve in Full
EI6PRJP1TU,30.0,30.0,Approve in Full
0FXWXL8LNU,179.9,0.0,Deny
OC9XFY32ZV,52.03,52.03,Approve in Full
VGQVNESE4S,254.38,0.0,Deny
3ZDD01N0CU,350.0,350.0,Approve in Full
U66AHOMRBC,475.0,0.0,Deny
FPAOFT7L8G,1814.72,0.0,Deny
6YOMV1UU93,597.9,597.9,Approve in Full
9N8UMG19GJ,2200.0,0.0,Deny
OUK9OE7JE2,70.0,70.0,Approve in Full
CJN7CVCCL1,7.42,7.42,Approve in Full
SD8ENFB6PG,420.0,0.0,Deny
I3361O4SAS,95.39,95.39,Approve in Full
KC9M05N0UH,120.0,0.0,Deny
IHI9B5U9X2,27.24,0.0,Deny
AOX1R9PFZ0,32.98,32.98,Approve in Full
3X5LVS4CWZ,312.84,313.0,Approve in Full
WUW29MTXPR,145.0,0.0,Deny
IYEAFRTZ0N,29.0,29.0,Approve in Full
0YTY5ROM7T,100.0,100.0,Approve in Full
L4IOMAKUJT,335.0,167.5,Settle
B9ZS7FICTO,709.0,709.0,Deny
P458HNSCGU,66.33,36.33,Settle
BCS0DUFFBB,553.99,0.0,Deny
EUE6FTMPD1,10.6,0.0,Deny
KJ3YLLAD8J,2500.0,0.0,Deny
KVXI507DNA,2059.24,2059.24,Approve in Full
FZ3P15HZGP,300.0,0.0,Deny
BKXU2L9HNZ,1000.0,0.0,Deny
5JXZAHO6CT,40.29,40.29,Approve in Full
VRSKK3N9FF,164.2,0.0,Deny
JBJHZE8LP4,370.6,0.0,Deny
3GFA0BKUC1,1259.99,0.0,Deny
CKLH8GHZQ4,38.02,0.0,Deny
H9V89XQND3,75.78,50.0,Settle
634SMC1M8H,60.0,0.0,Deny
WFP0SA1X0B,2850.0,0.0,Deny
EFLJ0YLWLV,150.0,75.0,Settle
N1MC6V929S,877.38,0.0,Deny
9XULVCCJY4,250.0,87.5,Settle
766CMQY6UV,270.0,0.0,Deny
V6X0USEMFW,449.0,449.0,Approve in Full
V53DDXAOI1,150.0,0.0,Deny
KD9ZLKEORI,10.12,10.12,Approve in Full
NP7YF88BYH,540.0,0.0,Deny
F30JPQ5BKV,200.0,100.0,Settle
SZ8MRQUSVQ,56.0,56.0,Approve in Full
576UX4JR9M,60.0,0.0,Deny
C0744BBJ4U,150.0,0.0,Deny
TV6N6YGMEC,1395.55,1395.55,Deny
HOMDXQN8PF,237.04,50.0,Settle
7ZXPJ9Y8FS,0.0,0.0,Deny
PN9UETPDHU,85.0,42.5,Settle
446D2FPJLO,525.0,262.5,Settle
6FP8118BI7,8.99,8.99,Approve in Full
6OBWKR25O3,54.15,54.15,Approve in Full
8CAI98MK61,5200.0,0.0,Deny
KJ0B2OT4EX,500.0,0.0,Deny
27GWJX7CZ0,47.33,0.0,Deny
KQVWBYFS3Y,280.0,30.0,Settle
A9JRNSXR15,1700.0,425.0,Approve in Full
2QB03UXTN4,675.0,0.0,Deny
4EDHH8D7OU,300.0,300.0,Approve in Full
7Y0BSGIDQM,119.99,0.0,Deny
I5GKT66556,493.2,227.2,Settle
E8YKCGAMMN,645.0,0.0,Deny
AHGXNSFT9E,805.77,0.0,Deny
WW08TOW6FY,66.77,66.77,Approve in Full
80NRYGY22K,139.2,139.2,Approve in Full
MOGBXQW6P1,644.82,616.25,Settle
JSPMJSU5RA,49.0,42.0,Settle
J9NPFT1VGM,400.0,200.0,Settle
88FTK6PDXW,115.0,0.0,Deny
YOPVLZZS3F,510.0,510.0,Approve in Full
8FHAOIIOQ5,355.45,177.73,Settle
BWEWKGBYZW,98.0,0.0,Deny
XTODC79SDO,198.93,0.0,Deny
1WRS1EREMN,786.0,456.31,Settle
NSBXLW7AYF,1080.0,0.0,Deny
QEG7OPT3M8,31.25,31.25,Approve in Full
8P7MGDE5PR,1467.0,0.0,Deny
YH2CYORR65,15.24,15.24,Approve in Full
UI5IX6V2NY,380.0,0.0,Deny
PIQ78FKT00,250.0,0.0,Deny
MW78R9JIAJ,300.0,0.0,Deny
1VT5YG9Z86,9.0,9.0,Approve in Full
PQQY3N712B,125.99,125.99,Approve in Full
1T2NMPCU9T,236.25,236.25,Approve in Full
PHPHUU52CQ,31.0,31.0,Approve in Full
4D6ME4UYLB,130.0,65.0,Settle
DZVNY107IL,752.34,0.0,Deny
JEE1OEOX3Z,190.0,95.0,Settle
08JM21ZOIW,754.54,0.0,Deny
1CUQTQRYQW,250.0,75.0,Settle
GCU0B53X1Z,155.94,77.97,Settle
GUPF9I8D8K,353.0,0.0,Deny
SRED2ZYAD1,500.0,193.9,Settle
K89ZF7OVAG,129.95,0.0,Deny
MJFBAG65Z4,66.0,66.0,Approve in Full
0LLM36RCN4,998.88,0.0,Deny
QJ9RUIXEDY,720.61,0.0,Deny
FNTLQDHIUY,3000.0,0.0,Deny
1STTX05G93,2000.0,600.0,Settle
9J53Q6JQ2J,372.0,186.0,Settle
J13DVW5BZC,2000.0,0.0,Deny
AOJH0OEA14,243.93,243.93,Approve in Full
YAKPSN62NW,289.95,50.0,Settle
7MFXNLDUZN,701.98,0.0,Deny
3R73XUNY1Z,355.61,36.81,Settle
B75JCGIG9Y,550.0,0.0,Deny
GXUKPHW4JN,60.0,30.0,Settle
F04XK8YU4M,2155.0,0.0,Deny
0DIPKVJNF2,85.9,21.48,Settle
RUCAW41IED,1484.7,0.0,Deny
Z3UROHZQ8H,8.51,8.51,Approve in Full
Z5EGHOQZGE,20.0,0.0,Deny
VATNA9NBYV,10.0,0.0,Deny
GKAJQ1T18F,155.0,0.0,Deny
V1ERL657B0,1300.0,1300.0,Approve in Full
CQPAHAP1X3,501.9,0.0,Deny
A0P5VECNFV,6995.0,0.0,Deny
I2J469ITXQ,2000.0,0.0,Deny
O73NTI7S80,1200.0,0.0,Deny
GB1DBD0W3U,89.3,0.0,Deny
8LGUYH0DWY,344.98,99.37,Settle
DO538FHDCF,120.0,50.0,Settle
VYX45IY40U,489.0,0.0,Deny
HSDPRFJT64,446.94,207.1,Settle
21UZQ8W33Z,200.0,0.0,Deny
XYBDELBEG1,7468.95,0.0,Deny
BYYRPCTYB0,1323.97,0.0,Deny
ZP8YSLVI00,69.99,0.0,Deny
ENY9QIVTZZ,134.99,0.0,Deny
3C4JLBA7T7,170.0,0.0,Deny
OCMTNBLV9G,0.0,0.0,Deny
HN0SSNL3P8,249.0,0.0,Deny
85IE19OVHL,248.0,0.0,Deny
P5GNHVSQCR,20.0,20.0,Approve in Full
8LF1C106AG,2745.0,0.0,Deny
JPO07OSEFL,32.5,0.0,Deny
ZEVG8GCTPK,430.0,430.0,Approve in Full
4B694IBA9B,57.89,0.0,Deny
D0ILX733Y0,9.95,9.95,Approve in Full
ROT4OG7KG7,480.0,480.0,Approve in Full
LRFGLGC8NN,342.21,342.21,Approve in Full
ZG2YXJGNM1,88.5,88.5,Approve in Full
RDKKXUMLPD,650.0,0.0,Deny
ZAQRC2QURJ,650.0,458.28,Settle
GY38QDJ0V9,40.0,40.0,Approve in Full
P1MDZZ5IBH,725.0,507.5,Settle
4F3W5CMCRW,293.96,293.96,Approve in Full
U831ISBCVM,60.0,60.0,Approve in Full
3BMTWNJJLC,647.0,0.0,Deny
9XXDO8APND,46.99,0.0,Deny
U0SDSVJNPI,31.5,31.5,Approve in Full
ZAVU88D9AV,250.0,0.0,Deny
DNDOEFPYOU,54.95,54.95,Approve in Full
4UFKEWUKV1,100.0,0.0,Deny
TQHSQTSQSU,59.95,0.0,Deny
I18OJF4LWC,249.99,0.0,Deny
