Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
KL27YTOL6N,ATQ,Amritsar,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
GCDZWBQJBE,HYD,Hyderabad,Non-Profit Organization (NPO),Property Damage,Warehouse,Furniture
4RNS2HY2XE,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
BWAZKI5M6D,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
0PIZNPIPP9,BOM,Mumbai,Cooperative Society,Property Damage,Warehouse,Furniture
95HTTMBVV4,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Fixtures
TK35SN71G8,AGR,Agra,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
XEHB0GMGYE,AMD,Ahmedabad,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
ZYJSIGLWXE,BOM,Mumbai,One Person Company,Property Loss,In Transit,Furniture
MD4EM4CCZL,THN,Thane,One Person Company,Property Damage,Warehouse,Inventory - Raw Material
VJARJAQH3W,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
0ZVN7DHGA9,BLR,Bangalore,Sole Proprietorship,Property Loss,In Transit,Misc. Lab Equipment
Z2SHBLYRJ3,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
H5E8V5912L,PAT,Patna,Limited Liability Parterneship (LLP),Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
QPFCJKUZVY,KNU,Kanpur,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
P6UQM3BKU8,ATQ,Amritsar,Partnership Firm,Property Damage,Warehouse,Misc. Engineering Tools
F11SE0DQFQ,VSK,Visakhapatnam,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
OCX5XTSBVB,BOM,Mumbai,Partnership Firm,Property Loss,Warehouse,Inventory - Raw Material
OBWE13TORM,CJB,Coimbatore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
WLOVY93Z0S,CCU,Kolkata,Limited Liability Parterneship (LLP),Property Loss,In Transit,Inventory - Raw Material
GT6146D5ZM,BOM,Mumbai,Partnership Firm,Property Damage,Warehouse,Furniture
J6GCS071QZ,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
Z3GKL56T9T,DEL,Delhi,One Person Company,Property Loss,In Transit,Furniture
2F3H5B1F75,KNU,Kanpur,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
BBRPHKM4WY,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
EI1GLTL3DC,AGR,Agra,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
XBLV5RVC3U,PNQ,Pune,One Person Company,Property Loss,In Transit,Furniture
Y4P0875YE7,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
5KEE9XHG41,AMD,Ahmedabad,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
3JJ4ML087B,BLR,Bangalore,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
BRS5DAQP4L,BLR,Bangalore,Public Limited Company,Property Damage,Warehouse,Inventory - Raw Material
NN1R9F99IQ,ATQ,Amritsar,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
D4GKRTOX4U,AMD,Ahmedabad,Public Limited Company,Property Damage,Warehouse,Inventory - Raw Material
S8NQEP9R3B,AGR,Agra,One Person Company,Property Damage,In Transit,Inventory - Raw Material
X7T1T8QU69,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
MCGJGQI56R,BDQ,Vadodara,Sole Proprietorship,Property Loss,Warehouse,Inventory - Raw Material
EAUGE0POF9,BHO,Bhopal,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
6FVY719DI3,LKO,Lucknow,Private Ltd. MSME - Medium,Property Damage,Warehouse,Misc. Electronic Items
SJERZXWIXY,BHO,Bhopal,Joint-Venture Company,Property Loss,Warehouse,Misc. Lab Equipment
MS7NF4DWK6,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
OENVDEZKE5,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
0D7FTB0G2L,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,Furniture
RAJTY1XOGZ,AGR,Agra,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
KL4XZX3B57,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
LR6UWXEJXZ,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Furniture
7NNUSHAELL,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Inventory - Raw Material
AXIHTP1CL1,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Raw Material
36C507IJ4G,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
HDH6XWJ2KZ,HYD,Hyderabad,Foreign Subsidary,Property Loss,Warehouse,Cameras and other Misc. Security Equipment
0UUXOVN8RD,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Furniture
HCYVW8FLRI,CJB,Coimbatore,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
QIK7S4W1AK,DEL,Delhi,One Person Company,Property Loss,Other,Misc. Lab Equipment
A9G61X0801,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
L1NU3HY96F,NGP,Nagpur,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
YL49YRDJTO,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
EERE863SZJ,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Misc. Sensors
JXWSBOI2TY,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
08YHLUG7MO,LKO,Lucknow,One Person Company,Property Loss,In Transit,Furniture
MN5H3PQTAU,BOM,Mumbai,Partnership Firm,Property Loss,Warehouse,Misc. Sensors
B96L7OM81I,CCU,Kolkata,Private Ltd. MSME - Small,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
WUSSE0A8FK,BOM,Mumbai,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Electrical Equipment
9W5DUXPV9C,BOM,Mumbai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
Q20DGNURR3,LKO,Lucknow,One Person Company,Property Damage,Warehouse,Misc. Engineering Tools
LH2LS66734,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Lab Equipment
NF5FIUSLUZ,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
M7SZGLICKP,DEL,Delhi,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
OI0L81A47I,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
7R8G5W2M6J,PNQ,Pune,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
BAXT786CDP,AMD,Ahmedabad,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
CGULUI45PJ,ATQ,Amritsar,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
AW2Z10FNVZ,BLR,Bangalore,Public Limited Company,Property Damage,Warehouse,Misc. Electronic Items
AMDQ05K085,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
H2LNKX3189,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
TULGV6O5T4,PAT,Patna,Sole Proprietorship,Property Damage,In Transit,Inventory - Finished Goods
VPL9OF4YEU,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
22PMZBR4PQ,CCU,Kolkata,Cooperative Society,Property Loss,In Transit,Fixtures
UW5FHGY14M,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
0A3P9BDAQW,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electronic Items
WX53UFQJ79,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
2E0RDVW3EG,HYD,Hyderabad,Partnership Firm,Property Damage,In Transit,Furniture
P0HH91083Y,BOM,Mumbai,Sole Proprietorship,Property Damage,Warehouse,Pumps and Motors
RCBXUW5CZ6,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
QGACEDR75I,BDQ,Vadodara,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
ERLZFXOJEZ,BOM,Mumbai,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
BKF2NOJMHR,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,Warehouse,Misc. Sensors
KB013PKGYM,VSK,Visakhapatnam,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
0Y9XW15Q2B,VSK,Visakhapatnam,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
K2SKL71YVC,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
88E736H6UB,THN,Thane,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
STYZUF12BY,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Furniture
YUVD0MA4EQ,VSK,Visakhapatnam,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
GI41YLHSQ7,LKO,Lucknow,One Person Company,Property Damage,In Transit,Misc. Electronic Items
VG4MLHX69B,AGR,Agra,Private Limited Company,Property Loss,In Transit,Furniture
NTHD2VZSC6,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Pumps and Motors
Z7B26ALBI9,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
8XAS6E45KD,BOM,Mumbai,Joint-Venture Company,Property Loss,Warehouse,Misc. Lab Equipment
R2FJ29PHH3,AMD,Ahmedabad,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
OFMNW0X1CK,LKO,Lucknow,Partnership Firm,Property Damage,Warehouse,Furniture
KLKL3Z6NH6,BLR,Bangalore,Private Ltd. MSME - Medium,Property Loss,Warehouse,Misc. Lab Equipment
S3BZMLVMM1,THN,Thane,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
BZ9LKP4773,BDQ,Vadodara,Sole Proprietorship,Property Damage,Warehouse,Misc. Electronic Items
BMN6VVV5FT,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
KFE0VJMEGU,PNQ,Pune,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
P29YOL8SJK,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
YU87DLERLI,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
0LFT0QM9AZ,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Electronic Items
D7Z6SUC128,AGR,Agra,Partnership Firm,Property Damage,Warehouse,Misc. Electrical Equipment
84LFSXCZFF,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
J0DHXPBYRN,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Misc. Electronic Items
UCL0Q10YT4,LKO,Lucknow,Public Limited Company,Property Damage,In Transit,Misc. Engineering Tools
9CM5APL706,DEL,Delhi,Foreign Subsidary,Property Damage,In Transit,Misc. Engineering Tools
PFYY3D6PF2,IDR,Indore,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
H4DHL92P8L,STV,Surat,One Person Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
QRPZDI7DI2,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
IP7YOP6ONG,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Furniture
CQOB5C3YDA,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Raw Material
SF3E2VHMMU,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Inventory - Raw Material
HY9LAWGL0V,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Electronic Items
SF6HBHCVPR,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
L0DJT9FYGF,DEL,Delhi,One Person Company,Property Loss,Warehouse,Inventory - Raw Material
UGN8FIWIGM,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
D00CYBT83C,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
BYYRPCTYB0,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Pumps and Motors
7CHX0H3F9V,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
XBFJH19866,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
D84V5ILJCY,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
9NPWQ1H4EW,BLR,Bangalore,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
69ZX30TXA8,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Finished Goods
336D06M7QO,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
45MQP0G64O,DEL,Delhi,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
2JRMIPCF3G,MAA,Chennai,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
PLI6XTJFPU,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,Warehouse,Inventory - Raw Material
VMTW6B6GGV,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Furniture
6W10SZ856U,DEL,Delhi,Private Limited Company,Property Loss,Warehouse,Pumps and Motors
9JX5JAY8XK,BOM,Mumbai,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Engineering Tools
QW3AENCI1R,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Fixtures
ZW2HO4WS33,ATQ,Amritsar,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
TLT5EGSKI6,PNQ,Pune,Sole Proprietorship,Property Loss,In Transit,Furniture
NB6LF7YJ0L,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Finished Goods
7Z1E9K0I12,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
8J7PLJSVQ4,NGP,Nagpur,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
Y6ZKE8T0GP,AGR,Agra,Public Limited Company,Property Loss,In Transit,Misc. Sensors
N6NQQBNQ21,AGR,Agra,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
TNURED8WEX,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Furniture
29MTIMY0GX,NGP,Nagpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
XAERUWZWFU,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
25U15JOPEF,CCU,Kolkata,Private Limited Company,Property Loss,Warehouse,Misc. Lab Equipment
TSBT8XU2NJ,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
UY96XSODSK,CCU,Kolkata,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
EFUTOTLH7R,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Inventory - Raw Material
UJTIF19BIE,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
I1YPWSYXMY,BHO,Bhopal,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
L7UU9W0HBZ,THN,Thane,One Person Company,Property Damage,In Transit,Inventory - Raw Material
LY0Y8Y3QCX,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
P4H34E9BNG,AGR,Agra,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
LTGQCCCQBZ,BDQ,Vadodara,Private Limited Company,Property Damage,Warehouse,Misc. Engineering Tools
HBLFWB29XO,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
KY9UOKTWWH,ATQ,Amritsar,Public Limited Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
60EDEJY1O5,CCU,Kolkata,One Person Company,Property Loss,In Transit,Inventory - Raw Material
W4AR77SK63,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
YIH85KX90J,PNQ,Pune,Public Limited Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
BWX2BHPXPW,NGP,Nagpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
JCPHKUJNG5,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Misc. Electrical Equipment
R9AJSWDFFF,MAA,Chennai,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
062CMYHGVC,CCU,Kolkata,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
003PRG98IT,MAA,Chennai,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
KBQTDID8LA,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
3GMHVY0LU8,BOM,Mumbai,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
7HXHWDJHUQ,DEL,Delhi,Public Limited Company,Property Damage,In Transit,Misc. Engineering Tools
31JY70OK4P,STV,Surat,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
29VGHJ7IG8,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Misc. Electronic Items
FMRYPUEEVI,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
83P1QPT9RD,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
1MYCT1XS24,ATQ,Amritsar,Partnership Firm,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
5JEAX5KI1A,DEL,Delhi,Private Limited Company,Property Damage,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
2QT4VRRT08,BOM,Mumbai,Public Limited Company,Property Damage,In Transit,Furniture
56T7TCWC9B,THN,Thane,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
4WJE44J44M,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
BW9OMD7K2C,AMD,Ahmedabad,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
8TBVVFIEUP,PNQ,Pune,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
J81730DSNC,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
6QVEICERU1,AGR,Agra,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
GW7K3K6F3Y,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Pumps and Motors
PZ9SSFTV0N,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Fixtures
LB5HL51TZD,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Engineering Tools
OMXYONPIQ5,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
KA852L33NJ,LKO,Lucknow,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
DWTGUBFGLQ,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
6TLK9U8B90,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,Warehouse,Misc. Lab Equipment
HD41D6NEGW,VSK,Visakhapatnam,Private Ltd. MSME - Small,Property Damage,In Transit,Misc. Electronic Items
P1G7Q1PWLF,MAA,Chennai,Private Ltd. MSME - Micro,Property Loss,In Transit,Fixtures
6R74WO0KER,DEL,Delhi,One Person Company,Property Damage,In Transit,Furniture
5HRAZFG2I0,AGR,Agra,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
K35S8A22VU,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Finished Goods
DNFOMFYT3R,AGR,Agra,Partnership Firm,Property Loss,In Transit,Cameras and other Misc. Security Equipment
EXQ6Q9SYBQ,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Furniture
12U28DKRXY,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Raw Material
LKUL5F5G0O,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
A73TX2PLF9,PNQ,Pune,One Person Company,Property Loss,Warehouse,Misc. Electrical Equipment
S7J3GXFS0E,VSK,Visakhapatnam,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
YJ4E3MQCEL,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
MJZ6C9X3L1,LKO,Lucknow,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
FN8U31GVVI,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Furniture
DOW99VKESF,DEL,Delhi,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
6QILQV5CIU,BOM,Mumbai,One Person Company,Property Loss,In Transit,Furniture
1SMZ579FRA,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
B1X88WD8SX,NSK,Nashik,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
KXNNLJZV0Z,MAA,Chennai,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
H0LQ4TGRWV,VSK,Visakhapatnam,Foreign Subsidary,Property Damage,In Transit,Inventory - Finished Goods
